127.0.0.1 - - [29/May/2024:20:08:21 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:21 -0300] "GET /projetoSol/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:21 -0300] "GET /projetoSol/img/sol1.jpg HTTP/1.1" 200 132208
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:21 -0300] "GET /projetoSol/css/site.css HTTP/1.1" 200 2834
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:21 -0300] "GET /projetoSol/img/sol3.jpg HTTP/1.1" 200 7577
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:21 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:25 -0300] "GET /projetoSol/conteudo.html HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:26 -0300] "GET /projetoSol/inscricao.html HTTP/1.1" 200 3448
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:26 -0300] "GET /projetoSol/js/site.js HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [29/May/2024:20:08:27 -0300] "GET /projetoSol/index.html HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [29/May/2024:21:28:32 -0300] "GET /projetoSol/ HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [29/May/2024:21:30:13 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:30:15 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:30:15 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:30:15 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:30:15 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:30:49 -0300] "GET /projetoSol/ HTTP/1.1" 200 1996
0:0:0:0:0:0:0:1 - - [29/May/2024:21:31:34 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:31:34 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:31:34 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:31:35 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:31:35 -0300] "GET /projetoSol/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:33:09 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [29/May/2024:21:33:09 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4977
0:0:0:0:0:0:0:1 - - [29/May/2024:21:33:09 -0300] "GET /ProjetoTrilhaWeb2/general/menu.html HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [29/May/2024:21:33:09 -0300] "GET /ProjetoTrilhaWeb2/general/rodape.html HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [29/May/2024:21:33:09 -0300] "GET /ProjetoTrilhaWeb2/general/cabecalho.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:21:34:34 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:34:34 -0300] "GET /ProjetoTrilhaWeb2/general/cabecalho.html HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/May/2024:21:34:34 -0300] "GET /ProjetoTrilhaWeb2/general/menu.html HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [29/May/2024:21:34:34 -0300] "GET /ProjetoTrilhaWeb2/general/rodape.html HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:24 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:24 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:24 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:24 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:24 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:40 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:40 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:41 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:41 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [29/May/2024:21:46:41 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:24 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:24 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:24 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:24 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:24 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:30 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:30 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [29/May/2024:21:49:30 -0300] "GET /ProjetoTrilhaWeb2/ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [29/May/2024:21:50:15 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:50:15 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4915
0:0:0:0:0:0:0:1 - - [29/May/2024:21:50:15 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/May/2024:21:50:15 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/May/2024:21:50:15 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:04 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [29/May/2024:21:52:05 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 404 826
