127.0.0.1 - - [24/Sep/2024:18:56:50 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Sep/2024:18:56:51 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:23:19 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:23:19 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:23:19 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:23:19 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:23:19 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:23:51 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:23:51 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:24:18 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:30:08 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:30:08 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:30:19 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:30:19 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:19:30:54 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:08 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:08 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:09 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:10 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:10 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:10 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:10 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:17:33 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:38 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:39 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:39 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:39 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:18:41 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [24/Sep/2024:20:22:25 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 133
