127.0.0.1 - - [17/Oct/2024:21:01:21 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:22 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:22 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:22 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:27 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:27 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:27 -0300] "GET /ProjetoTrilhaWeb2/js/jquery-ui.js HTTP/1.1" 200 518995
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:27 -0300] "GET /ProjetoTrilhaWeb2/css/jquery-ui.css HTTP/1.1" 200 35959
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:29 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:29 -0300] "GET /ProjetoTrilhaWeb2/js/product.js HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [17/Oct/2024:21:01:30 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar HTTP/1.1" 200 82
