127.0.0.1 - - [18/Nov/2024:18:46:35 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:40 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:40 -0300] "GET /ProjetoTrilhaWeb2/css/site.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:40 -0300] "GET /ProjetoTrilhaWeb2/img/geladeira1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:40 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:40 -0300] "GET /ProjetoTrilhaWeb2/img/geladeira2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:40 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:46 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:46 -0300] "GET /ProjetoTrilhaWeb2/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:46 -0300] "GET /ProjetoTrilhaWeb2/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:46 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:46 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:46 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:47 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:54 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [18/Nov/2024:18:46:56 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 2869
